日付,始値,高値,安値,終値
2024年5月22日,"38,823.91","38,854.99","38,592.94","38,617.10"
2024年5月21日,"39,232.16","39,346.15","38,942.28","38,946.93"
2024年5月20日,"38,761.71","39,437.16","38,703.70","39,069.68"
2024年5月17日,"38,561.04","38,842.49","38,539.56","38,787.38"
2024年5月16日,"38,645.96","38,949.38","38,513.33","38,920.26"
2024年5月15日,"38,533.09","38,816.60","38,335.61","38,385.73"
2024年5月14日,"38,287.99","38,477.68","38,084.71","38,356.06"
2024年5月13日,"38,211.61","38,273.40","37,969.58","38,179.46"
2024年5月10日,"38,361.79","38,741.88","38,126.91","38,229.11"
2024年5月9日,"38,242.92","38,429.81","38,072.24","38,073.98"
2024年5月8日,"38,677.57","38,749.35","38,159.85","38,202.37"
2024年5月7日,"38,636.23","38,863.14","38,541.97","38,835.10"
2024年5月2日,"38,004.01","38,355.60","37,958.19","38,236.07"
2024年5月1日,"38,107.38","38,433.34","38,036.24","38,274.05"
2024年4月30日,"38,312.66","38,608.17","38,182.11","38,405.66"
2024年4月26日,"37,725.61","38,097.54","37,550.70","37,934.76"
2024年4月25日,"38,065.91","38,129.53","37,604.23","37,628.48"
2024年4月24日,"37,871.92","38,460.08","37,857.47","38,460.08"
2024年4月23日,"37,797.06","37,817.78","37,397.27","37,552.16"
2024年4月22日,"37,240.93","37,511.80","37,052.63","37,438.61"
2024年4月19日,"37,724.47","37,749.48","36,733.06","37,068.35"
2024年4月18日,"37,745.04","38,216.75","37,644.91","38,079.70"
2024年4月17日,"38,587.47","38,587.61","37,961.80","37,961.80"
2024年4月16日,"38,750.67","38,764.82","38,322.32","38,471.20"
2024年4月15日,"39,056.93","39,232.80","38,820.95","39,232.80"
2024年4月12日,"39,722.02","39,774.82","39,457.73","39,523.55"
2024年4月11日,"39,090.68","39,473.48","39,065.31","39,442.63"
2024年4月10日,"39,582.33","39,708.70","39,510.48","39,581.81"
2024年4月9日,"39,496.95","39,773.13","39,476.13","39,773.13"
