都道府県,人口総数,平成22年組替人口,面積,人口密度,平均年齢,年齢中位数,"年齢（総数）総数
人口","15歳未満
人口","15～64歳
人口","65歳以上
人口","年齢別割合（総数）15歳未満
人口割合","年齢別割合（総数）15～64歳
人口割合","年齢別割合（総数）65歳以上
人口割合","年齢（男）総数
人口","年齢（男）15歳未満
人口","年齢（男）15～64歳
人口","年齢（男）65歳以上
人口","年齢別割合（男）15歳未満
人口割合","年齢別割合（男）15～64歳
人口割合","年齢別割合（男）65歳以上
人口割合","年齢（女）総数
人口","年齢（女）15歳未満
人口","年齢（女）15～64歳
人口","年齢（女）65歳以上
人口","年齢別割合（女）15歳未満
人口割合","年齢別割合（女）15～64歳
人口割合","年齢別割合（女）65歳以上
人口割合",年齢別割合（女）人口性比,国籍日本人,国籍外国人,世帯世帯総数,世帯一般世帯,世帯施設等の世帯,世帯平成22年組替世帯総数
北海道,5381733,5506419,83424.31,68.6,48.26876845,49.69924947,5381733,608296,3190804,1558387,11.35412928,59.55784867,29.08802205,2537089,310387,1561879,651286,12.29960785,61.89208703,25.80830512,2844644,297909,1628925,907101,10.512203,57.4792647,32.00853231,89.18827804,5348768,21676,2444810,2438206,6604,2424317
青森県,1308265,1373339,9645.59,135.6,49.01473422,51.43793629,1308265,148208,757867,390940,11.4268532,58.43162955,30.14151725,614694,75661,373796,158837,12.43822888,61.44989101,26.11188011,693571,72547,384071,232103,10.53358327,55.76583261,33.70058413,88.62740801,1302132,3447,510945,509241,1704,513385
岩手県,1279594,1330147,15275.01,83.8,48.98887776,51.25264036,1279594,150992,734886,386573,11.86623296,57.75357951,30.38018753,615584,77222,373365,160565,12.63548184,61.0920033,26.27251486,664010,73770,361521,226008,11.15531704,54.66831191,34.17637105,92.70703754,1272745,5017,493049,489383,3666,483934
宮城県,2333899,2348165,7282.22,320.5,46.23251669,46.69417266,2333899,286003,1410322,588240,12.51892592,61.73262744,25.74844664,1140167,146491,711994,254066,13.16712672,63.9965269,22.83634638,1193732,139512,698328,334174,11.90361207,59.58358859,28.51279934,95.51281192,2291508,13989,944720,942569,2151,901862
秋田県,1023119,1085997,11637.54,87.9,51.27188568,54.79435099,1023119,106041,565237,343301,10.45172431,55.7114823,33.83679339,480336,54137,281593,139825,11.3839619,59.21355048,29.40248762,542783,51904,283644,203476,9.62925584,52.62177565,37.74896851,88.49503393,1017149,2914,388560,387392,1168,390136
山形県,1123891,1168924,9323.15,120.5,49.1129712,51.53896199,1123891,135760,639336,344353,12.12739482,57.11166833,30.76093685,540226,69353,322538,145655,12.90177957,60.00193472,27.09628571,583665,66407,316798,198698,11.41203946,54.44171967,34.14624087,92.55754585,1116752,5503,393396,392288,1108,388608
福島県,1914039,2029064,13783.74,138.9,48.2255353,50.32313895,1914039,228887,1120189,542384,12.10107536,59.22350988,28.67541476,945660,117321,579554,233988,12.60346582,62.25985994,25.13667425,968379,111566,540635,308396,11.61423573,56.281146,32.10461827,97.65391443,1898880,8725,737598,730013,7585,720794
茨城県,2916976,2969770,6097.06,478.4,46.66634002,47.42561755,2916976,364351,1747312,771678,12.63641727,60.60025505,26.76332768,1453594,186926,900635,346608,13.03374986,62.79838708,24.16786306,1463382,177425,846677,425070,12.24319818,58.42487986,29.33192195,99.33113842,2862997,41310,1124349,1122443,1906,1088411
栃木県,1974255,2007683,6408.09,308.1,46.35226257,46.91568798,1974255,252836,1203616,508392,12.86799359,61.25758584,25.87442056,981626,129488,621806,224907,13.26448139,63.69651332,23.03900529,992629,123348,581810,283485,12.47649556,58.84935209,28.67415235,98.89152946,1927885,26494,763097,761863,1234,745604
群馬県,1973115,2008068,6362.28,310.1,46.93110048,47.60186754,1973115,250884,1165780,540026,12.82185732,59.5791873,27.59895538,973283,128450,596669,238250,13.33341638,61.93566536,24.73091827,999832,122434,569111,301776,12.32572351,57.29376506,30.38051144,97.3446539,1930380,37126,773952,772014,1938,755756
